"","mz","intercept","label_effect","t_value","p_value","log2_foldchange","neg_log10_p"
"1",172.040229084978,2870.8918418232,-1852.16920177565,-3.81319945957881,0.000137179314345204,-1.49473766614118,3.86271137217908
"2",187.055019353037,1032.18921587116,1143.45189558933,2.32434508127998,0.0201070064517426,1.07573312990817,1.69665258272317
"3",189.070660480973,3142.28678296283,1406.16117544746,1.56930416235872,0.116577082908981,0.533559491284606,0.933386816166883
"4",190.050757319362,1066.56812413479,-513.164540126291,-2.86774446168632,0.0041340928786251,-0.946572224419999,2.38361977051927
"5",201.059263403944,826.73515607363,983.193824937512,2.38426805546808,0.0171131320051672,1.13043594680508,1.76667049963001
"6",202.07831715483,916.458271018436,686.247758912943,1.95525846341472,0.0505525711558603,0.806368731759872,1.29625675084637
"7",203.073376585365,913.100619560558,671.388136215971,2.13101802546534,0.0330876572132939,0.7951716692092,1.48033398217102
"8",204.081161220628,1765.42762701212,1434.61613818423,2.32972615154864,0.0198206294409824,0.858073956562092,1.70288255780207
"9",205.06544275728,1267.16415952126,472.7606947035,1.07681381838632,0.281563450690355,0.457421562818146,0.55042372095637
"10",214.065627764834,5172.38412117123,5307.57796398711,2.21590628851244,0.0266979207770199,1.01873217311185,1.57352255999229
"11",215.071010404115,1977.61868977468,2061.60556773575,2.2044813896294,0.0274905073484923,1.03031396379473,1.5608172450013
"12",216.080995224305,2622.001590013,1277.4583699592,1.58028851384983,0.114040809092266,0.572605777132734,0.942939710136164
"13",217.087591268611,1508.6745217648,770.392525488612,1.60455010978981,0.108592848330322,0.595161772009312,0.964198775418904
"14",218.0730221031,1500.07322051493,716.606125916868,1.61000052329499,0.107397742056003,0.563367170114143,0.969004849203748
"15",219.079446406524,1159.88702261109,399.196940558034,1.22356899115721,0.221114863276912,0.426714337033266,0.655382063291083
"16",220.076540053476,2926.99154758269,2339.05224276789,2.21878523891284,0.0265013387185637,0.847300938707508,1.57673218706696
"17",225.060421880529,785.761377811088,790.257519960959,2.39405325634828,0.0166633290903845,1.00412167151956,1.77823822855056
"18",227.073487295715,2440.64708906304,3454.60983323856,2.31874511286953,0.0204088608571484,1.27229098852206,1.69018123522813
"19",228.079717121961,1823.1521679774,2397.78292201956,2.4443002495496,0.0145133424728641,1.21112766372183,1.83823255652493
"20",229.076245831759,787.059717927242,2821.32142257725,2.62373733593847,0.00869708276184089,2.19680672433813,2.06062639713935
"21",230.060557700289,1340.32112552308,1230.91656214956,2.26648813793266,0.0234215126201746,0.939884285213961,1.63038506052831
"22",231.080497399065,973.0740715537,861.632335810295,2.06828354267891,0.0386133683812366,0.914927685225525,1.41326231167363
"23",232.076340969683,4408.11723734483,2148.98276052899,1.6351582817181,0.102015871075102,0.572895302562291,0.99133225780529
"24",233.082412698534,3436.39002528836,2725.87368572893,2.23125181735934,0.025664453335474,0.842566633550625,1.59066798197464
"25",234.067555428112,1366.69839017788,630.750289155383,1.65441250799466,0.0980437267769783,0.547463539380954,1.00858018897529
"26",234.090338470878,2423.7389489795,1111.80315949752,1.81402603916362,0.0696737169782478,0.544697121589789,1.15693101995083
"27",235.074771724373,1669.18121647549,241.420305068767,0.782092668824663,0.434160114895569,0.194886327680616,0.362350076497437
"28",236.070466597494,762.047491562788,814.186672240813,2.55715539864392,0.0105532061380224,1.04852906024548,1.97661557861101
"29",236.081484410988,876.802666739775,47.5478140853359,0.315484763476761,0.752393617830264,0.0761877878477139,0.123554897003709
"30",238.086592119151,722.632311657113,275.075176283192,2.3625892436611,0.018147771407372,0.46535513755023,1.74117669982382
"31",239.049825005702,1088.14594895964,484.766016778834,1.50908738616354,0.131276452602646,0.531565853984726,0.881813167450937
"32",241.075999773763,979.19016528351,3428.70376264911,2.74380003328218,0.0060732520648471,2.17042853396299,2.21657869350276
"33",242.0829939623,882.540668891923,2691.35757253231,2.77285852626209,0.0055566272064288,2.01776389078998,2.25518873901123
"34",243.068286024271,3630.09287163458,3036.27340107606,1.98478209954209,0.0471687199012329,0.876894127830765,1.32634590979149
"35",244.075567353246,7099.54789732628,5358.02802780982,2.00884526890373,0.0445535457281619,0.811224305704694,1.35111772756653
"36",245.070346192288,747.93751853426,1613.2596781851,2.6958108468797,0.00702175276659489,1.65852887419352,2.15355446595495
"37",245.0812859342,2735.7032121694,1562.81531447498,1.73008793633587,0.0836145652550526,0.651927799073355,1.07771806396147
"38",246.091250459321,6338.99197163314,4802.39055775472,2.17032625569331,0.0299821389606078,0.813602921269358,1.52313738730987
"39",247.075357895201,3025.28975500818,3119.0595095435,2.35396896142215,0.0185741619586514,1.02218689892983,1.7310907719116
"40",247.094418048568,1521.71019453906,1198.99121534537,2.14208085919482,0.0321869758722041,0.838285005378199,1.49231982554212
"41",248.072903457594,4559.97102787539,2732.15731175543,2.05881259849749,0.0395121943103606,0.677315294525683,1.40326885109763
"42",249.077784949658,3700.53579608722,3224.96869792556,2.32279427810933,0.0201902066150195,0.904184997355125,1.69485923671244
"43",250.086140482391,6632.54299121842,2772.90076518302,1.80164414019649,0.0716014118584052,0.503933891034406,1.1450784140571
"44",251.092544442111,3786.42242875437,622.801233537792,0.962426417407248,0.335835448900982,0.21968928798963,0.47387346409571
"45",252.100982569844,2870.69860049532,297.420639084797,0.300521995202528,0.763779021594651,0.14222476814071,0.117032274387422
"46",256.075786983911,4456.12484325866,4974.81673626231,2.46687156394651,0.0136299236139065,1.08161216395522,1.86550657807229
"47",257.055808626617,2922.77134381687,1311.92336079858,0.793590519648087,0.427433853324004,0.534920996202286,0.369131084114925
"48",257.069653495239,530.824863089321,1653.79414018825,2.69368144348662,0.00706676699196773,2.04107384498932,2.1507792281661
"49",257.080389721322,1967.82175298494,2623.73294213622,2.31403650754011,0.0206657196583546,1.22238318521857,1.68474946634597
"50",258.057311905631,1283.02088194062,149.670486038951,0.651893331363664,0.514469987180931,0.15918320469438,0.288639955754603
"51",258.078517170165,2176.49639744841,5879.28442371685,2.84428244613117,0.00445115711604338,1.88801679937319,2.35152707580816
"52",259.062196927319,1014.72636237617,1341.52417185274,2.4773965524462,0.0132344767586012,1.21540221202844,1.87829322439242
"53",259.086933498036,5123.42813569585,10581.5644793118,2.95444634633225,0.00313230613813442,1.61604190484185,2.50413579846432
"54",260.070430411758,4032.96797472092,3322.96225153928,2.19546594071736,0.0281301914852392,0.867065845780755,1.55082731153548
"55",260.090467723523,1706.9752643342,2890.2655420716,2.77176453459476,0.00557533502863394,1.42932608490186,2.25372903021429
"56",261.050943190761,791.948401280755,490.566360521912,1.20930659813078,0.226545076897186,0.695497090491976,0.64484537113484
"57",261.076979643278,2360.0290880059,1736.13505092917,2.23699478593542,0.0252866808220876,0.795468885963429,1.59710817323585
"58",261.101184350442,2093.96160575712,3161.00445634352,2.79071916484119,0.00525910816531938,1.3274464572343,2.27908789685753
"59",262.086187463822,9603.74717396088,9869.59914377797,2.5031604475831,0.0123089728350029,1.01983149028098,1.90977818676833
"60",263.070005915451,2188.58334459765,1315.61907225374,1.9672284644168,0.0491568778550615,0.67908878817032,1.30841570864518
"61",263.089006560537,2801.79847423918,2686.58366280762,2.46686941831216,0.0136300052828792,0.970027744507481,1.86550397583629
"62",264.065224625834,721.418957150455,1146.33514725719,2.64974079418567,0.00805535465248541,1.37239529301172,2.09391533417378
"63",264.100532078089,3295.81903595282,1929.7063618503,2.08296549595542,0.037254368756819,0.664939069112752,1.42882279094987
"64",267.040086129314,2241.15098916461,1010.22412127613,0.846989233622662,0.397001122512581,0.536810160739612,0.401208265276355
"65",269.070915092901,2160.56664146168,6492.53139035986,2.73403056118975,0.00625642371827007,2.00180701646411,2.20367384622137
"66",270.076183568181,875.761855981702,2123.82333328242,2.70019824837193,0.0069298168450227,1.77615248578944,2.15927824363453
"67",271.062786086781,1139.76451155909,315.777517129314,0.876885359728898,0.380548908932334,0.352820719983772,0.419589518881821
"68",271.086406869389,3616.23262521483,7519.23297289048,2.71938634087224,0.00654031679483735,1.62260248999505,2.18440121514398
"69",272.07051592428,13343.5232104571,11273.4876694497,2.09844547785714,0.0358658114662193,0.883515948668473,1.44531933877767
"70",272.091504097835,1443.01879215867,2816.34748376461,2.72278256469212,0.00647346481776734,1.56154870908446,2.18886320797607
"71",273.075573717918,5948.39111701953,5490.05368791496,2.25776794035625,0.0239601309618045,0.943319498271424,1.62051081250002
"72",273.101096376378,2396.68812054653,2911.46367399556,2.62386569380206,0.00869380597398972,1.14716744307969,2.06079005650381
"73",274.072125105264,986.617875412569,1771.77087837535,2.53715027315008,0.0111758969874117,1.48326246630703,1.95171760993654
"74",274.085979896416,12640.1883716119,7660.13052421278,2.04624906495528,0.0407318722308704,0.683484427175341,1.3900656272121
"75",274.107367041454,963.841681725942,1058.82470929785,2.50982938868637,0.0120789504983054,1.06939029078364,1.91797079854563
"76",275.069955609186,967.198507079984,703.020642312285,1.79241709113945,0.073066179061504,0.788153488253326,1.1362836031501
"77",275.090417955665,5966.01862111284,5161.75791010705,2.20439316349852,0.0274967060509128,0.899324967255191,1.56071932906408
"78",276.066160644438,3621.57724182789,2536.84319549712,2.11019797524684,0.03484130687122,0.765942218235729,1.45790556329943
"79",276.088221843523,927.044176617632,866.351353285046,2.14704326806688,0.0317898371366683,0.951983712258694,1.49771169702475
"80",276.101476755762,7384.0307091724,2958.89766989551,1.45961698756724,0.144395367852577,0.486164253668486,0.840446738541535
"81",277.071543841893,1736.22646139793,998.47869791695,1.71296614582826,0.0867187679670216,0.655430162814175,1.06188690088093
"82",277.095622899534,1506.54216999809,1266.6002049327,2.20401478519263,0.0275233043054433,0.880280630844588,1.56029942815908
"83",277.106252586798,2275.38127011248,1005.12706320253,1.52777601354453,0.126568159653355,0.527811077789146,0.897675534650793
