"mz","intercept","label_effect","t_value","p_value","log2_foldchange","neg_log10_p"
172.04066089319,1465.12752932112,-976.705318607333,-3.62812760568127,0.000285484158736637,-1.58482553419855,3.54441798536608
189.068756862274,1095.52104797445,517.897770862189,1.64141021019402,0.100712291855714,0.558503785928961,0.996917520912828
190.064363474919,577.133333333326,-27.7977718360056,-1.58551054621455,0.112850382689057,-0.0712169703364144,0.94749696383953
204.080508005933,529.936589429371,407.815651808477,2.12365951698995,0.0336986248659591,0.823387064363626,1.47238782094797
214.064821964397,1689.19190325923,1875.38676746328,2.31260112547555,0.0207445795999109,1.07739832472767,1.68309536195763
215.072418292092,523.176985153402,530.545392523066,2.21732564694701,0.0266008465373185,1.0101238304063,1.57510454229239
216.080490924367,867.435724856513,381.27446814683,1.3067104272123,0.191311075994202,0.525609921682056,0.718259885676229
216.145691166674,866.139952900877,382.819458921708,1.3101964055251,0.19012940142095,0.528054530679812,0.72095071907593
218.081211791469,518.651670766211,239.317466646606,1.63436878324201,0.102181438860548,0.547373164592485,0.990627986124331
220.075929491962,985.456375698637,856.901044825484,2.231810126134,0.0256275147888767,0.902689061516159,1.59129350719103
227.073826684494,601.420173070521,819.446174111443,2.15768903290467,0.0309520172016535,1.24032568956659,1.5093110419266
228.081757592046,434.126614285773,449.912182910078,2.02059786554214,0.0433214100804649,1.02599381532776,1.36329741584639
229.077570275906,248.397298341878,1161.20593790973,2.50597370504103,0.0122114700838143,2.50456775411295,1.91323205015365
232.075560225241,1120.21364944582,564.963830282106,1.67333590668738,0.0942611875893031,0.589126629057924,1.02566709289983
232.153824239525,1123.71770781224,564.67463078486,1.64077053631853,0.100845056550152,0.587370530197627,0.996345386153357
233.08185102465,1072.06678725332,812.986702771009,2.02969892911083,0.0423871518331518,0.814210676673249,1.37276576448161
234.070927462158,485.840954676965,174.436566289412,1.7283795352901,0.0839202020290911,0.442588421286723,1.07613347929479
235.079183909024,399.26460759192,18.2698289681432,0.284539017541952,0.775997337447953,0.0645499987816655,0.110139768862489
241.070732562898,413.087058236698,1245.55444375414,2.6952609951975,0.00703335155156448,2.00548432927999,2.15283767448353
243.077866255557,1015.38954044768,934.756744325212,1.8114215918448,0.0700756161528796,0.941549043750089,1.15443307493594
244.076073417358,1929.09087810009,1711.4976311999,2.07066527579396,0.0383900874054895,0.91625057483996,1.4157808990918
245.082611286015,757.140522738867,422.830325377261,1.57256834383535,0.115818802494365,0.640118227855603,0.936220929756452
246.087023534196,2212.04031454778,1842.63818232399,2.1275650512075,0.0333731624632871,0.874209845955567,1.47660263735843
247.092427577622,543.663459647685,296.374397470947,1.78218127480964,0.0747196753634654,0.627740479883619,1.1265650236645
248.078306193226,1158.09153890033,758.492625635153,2.06053425158863,0.0393474949181963,0.726788061165088,1.4050829120428
249.075365902986,1271.22097161341,1269.10612276775,2.31861286237845,0.0204160370594135,0.998799440975832,1.69002855462213
